,concurrent,op_type,size,lat
191,20,wr,65536,1.3723969459533691e-05
192,20,rd,131072,2.7727335691452026e-05
193,20,wr,131072,2.5957822799682617e-05
194,20,rd,262144,5.175545811653137e-05
195,20,wr,262144,4.6487897634506226e-05
196,20,rd,524288,9.909272193908691e-05
197,20,wr,524288,8.826330304145813e-05
198,20,rd,1048576,0.0001951083540916443
199,20,wr,1048576,0.00017221271991729736
200,20,rd,2048,3.3155083656311035e-06
201,20,wr,2048,2.7418136596679688e-06
202,20,rd,4096,3.5651028156280518e-06
203,20,wr,4096,3.248453140258789e-06
204,20,rd,8192,4.392117261886597e-06
205,20,wr,8192,4.2244791984558105e-06
206,20,rd,16384,5.9194862842559814e-06
207,20,wr,16384,5.8002769947052e-06
208,20,rd,32768,9.056180715560913e-06
209,20,wr,32768,8.419156074523926e-06
210,20,rd,65536,1.5601515769958496e-05
211,20,wr,65536,1.3742595911026001e-05
212,20,rd,131072,2.751871943473816e-05
213,20,wr,131072,2.485513687133789e-05
214,20,rd,262144,5.066022276878357e-05
215,20,wr,262144,4.633888602256775e-05
216,20,rd,524288,9.749829769134521e-05
217,20,wr,524288,8.83936882019043e-05
218,20,rd,1048576,0.00019340962171554565
219,20,wr,1048576,0.00017209351062774658
220,20,rd,2048,3.550201654434204e-06
221,20,wr,2048,3.0919909477233887e-06
222,20,rd,4096,3.870576620101929e-06
223,20,wr,4096,3.594905138015747e-06
224,20,rd,8192,4.708766937255859e-06
225,20,wr,8192,4.5709311962127686e-06
226,20,rd,16384,6.05359673500061e-06
227,20,wr,16384,6.224960088729858e-06
228,20,rd,32768,8.899718523025513e-06
229,20,wr,32768,8.452683687210083e-06
230,20,rd,65536,1.5676021575927734e-05
231,20,wr,65536,1.370161771774292e-05
232,20,rd,131072,2.8092414140701294e-05
233,20,wr,131072,2.5760382413864136e-05
234,20,rd,262144,5.162134766578674e-05
235,20,wr,262144,4.6253204345703125e-05
236,20,rd,524288,9.909272193908691e-05
237,20,wr,524288,8.856877684593201e-05
238,20,rd,1048576,0.00019346550107002258
239,20,wr,1048576,0.0001728944480419159
